food_id,food_name,calories,protein,carbs,fats,fiber,serving_size,food_category,diet_type,meal_type,health_benefits,image_path
F078,Ragi Porridge,180,5.5,32.0,3.5,4.0,1 cup (220g),South Indian Foods,vegetarian,Breakfast,calcium-rich grain option,nutrition_images/ragi_porridge.jpg
F079,Ragi Dosa,140,3.5,24.0,3.0,2.2,1 piece (70g),South Indian Foods,vegetarian,Breakfast,higher fiber dosa option,nutrition_images/ragi_dosa.jpg
F080,Whole Wheat Bread,80,3.5,14.0,1.0,2.0,1 slice (32g),Breakfast,vegetarian,Breakfast,quick complex carb,nutrition_images/whole_wheat_bread.jpg
F081,Peanut Butter Toast,190,8.0,16.0,11.0,3.0,1 slice (45g),Fitness Meals,vegetarian,Breakfast,energy + protein combo,nutrition_images/peanut_butter_toast.jpg
F082,Vegetable Sandwich,230,8.0,34.0,7.0,4.0,1 sandwich (180g),Snacks,vegetarian,Snacks,balanced portable meal,nutrition_images/vegetable_sandwich.jpg
F083,Paneer Sandwich,290,14.0,30.0,12.0,4.0,1 sandwich (200g),Fitness Meals,vegetarian,Lunch,higher protein meal option,nutrition_images/paneer_sandwich.jpg
F084,Curd,98,5.0,7.0,4.0,0.0,100g,Healthy Drinks,vegetarian,Snacks,gut-friendly probiotic support,nutrition_images/curd.jpg
F085,Buttermilk,40,2.0,4.5,1.5,0.0,1 glass (240ml),Healthy Drinks,vegetarian,Lunch,hydration and digestion,nutrition_images/buttermilk.jpg
F086,Milk,122,8.0,12.0,5.0,0.0,1 cup (240ml),Healthy Drinks,vegetarian,Breakfast,protein and calcium,nutrition_images/milk.jpg
F087,Soy Milk,100,7.0,8.0,4.0,1.0,1 cup (240ml),Healthy Drinks,vegan,Breakfast,plant protein hydration,nutrition_images/soy_milk.jpg
F088,Lassi Unsweetened,120,6.0,10.0,6.0,0.0,1 glass (240ml),Healthy Drinks,vegetarian,Lunch,cooling and probiotic drink,nutrition_images/lassi_unsweetened.jpg
F089,Tender Coconut Water,45,0.5,9.0,0.2,0.0,1 glass (240ml),Hydration foods,vegan,Snacks,electrolyte hydration boost,nutrition_images/tender_coconut_water.jpg
F090,Lemon Water,8,0.1,2.0,0.0,0.1,1 glass (240ml),Hydration foods,vegan,Breakfast,hydration and freshness,nutrition_images/lemon_water.jpg
F091,Jeera Water,5,0.2,1.0,0.1,0.1,1 glass (240ml),Hydration foods,vegan,Breakfast,digestion support hydration,nutrition_images/jeera_water.jpg
F092,Vegetable Soup,90,3.0,14.0,2.0,3.0,1 bowl (250ml),Healthy Drinks,vegan,Dinner,"light, hydrating, low-calorie",nutrition_images/vegetable_soup.jpg
F093,Tomato Soup,80,2.0,12.0,2.0,2.0,1 bowl (250ml),Healthy Drinks,vegan,Dinner,light dinner with antioxidants,nutrition_images/tomato_soup.jpg
F094,Chicken Soup,130,12.0,8.0,5.0,1.0,1 bowl (250ml),Healthy Drinks,non_vegetarian,Dinner,recovery and protein support,nutrition_images/chicken_soup.jpg
F095,Moong Chilla,170,10.0,20.0,5.0,4.0,2 pieces (120g),Fitness Meals,vegan,Breakfast,high-protein breakfast,nutrition_images/moong_chilla.jpg
F096,Besan Chilla,180,8.0,20.0,7.0,4.0,2 pieces (120g),Fitness Meals,vegan,Breakfast,protein-rich savory pancake,nutrition_images/besan_chilla.jpg
F097,Paneer Salad,230,14.0,10.0,15.0,3.0,1 bowl (180g),Fitness Meals,vegetarian,Lunch,protein and micronutrient dense,nutrition_images/paneer_salad.jpg
F098,Chicken Salad,260,24.0,10.0,12.0,3.0,1 bowl (200g),Fitness Meals,non_vegetarian,Lunch,lean protein + fiber combo,nutrition_images/chicken_salad.jpg
F099,Fruit Salad,120,2.0,30.0,0.5,4.0,1 bowl (180g),Snacks,vegan,Snacks,natural energy and hydration,nutrition_images/fruit_salad.jpg
F100,Veg Salad,90,3.0,12.0,3.0,4.0,1 bowl (180g),Snacks,vegan,Lunch,low-calorie nutrient density,nutrition_images/veg_salad.jpg
F101,Boiled Corn,96,3.4,21.0,1.5,2.4,100g,Snacks,vegan,Snacks,affordable energy snack,nutrition_images/boiled_corn.jpg
F102,Corn Chaat,160,4.0,26.0,4.0,3.5,1 cup (150g),Healthy snacks,vegan,Snacks,fiber and satiety snack,nutrition_images/corn_chaat.jpg
F103,Bhel Puri Home Style,170,4.0,30.0,4.0,3.0,1 cup (120g),Healthy snacks,vegan,Snacks,light evening snack,nutrition_images/bhel_puri_home_style.jpg
F104,Roasted Makhana,110,4.0,14.0,4.0,1.5,25g,Healthy snacks,vegetarian,Snacks,low-calorie crunchy snack,nutrition_images/roasted_makhana.jpg
F105,Khakra,130,4.0,20.0,3.5,2.5,2 pieces (35g),Healthy snacks,vegetarian,Snacks,portable whole-grain snack,nutrition_images/khakra.jpg
F106,Multigrain Crackers,120,3.0,18.0,4.0,2.0,30g,Healthy snacks,vegetarian,Snacks,portion-controlled snack,nutrition_images/multigrain_crackers.jpg
F107,Hummus,166,8.0,14.0,9.0,6.0,100g,Healthy snacks,vegan,Snacks,protein and healthy fats,nutrition_images/hummus.jpg
F108,Carrot Sticks,35,0.8,8.0,0.2,2.8,100g,Healthy snacks,vegan,Snacks,low-calorie crunch,nutrition_images/carrot_sticks.jpg
F109,Cucumber Slices,15,0.7,3.6,0.1,0.5,100g,Healthy snacks,vegan,Snacks,hydration snack,nutrition_images/cucumber_slices.jpg
F110,Banana Smoothie,220,8.0,36.0,5.0,3.0,1 glass (300ml),Healthy Drinks,vegetarian,Breakfast,energy and recovery,nutrition_images/banana_smoothie.jpg
F111,Mango Smoothie,240,7.0,40.0,5.0,2.5,1 glass (300ml),Healthy Drinks,vegetarian,Breakfast,calorie-dense energy,nutrition_images/mango_smoothie.jpg
F112,Protein Shake,180,24.0,8.0,4.0,1.0,1 glass (300ml),Fitness Meals,vegetarian,Snacks,muscle recovery support,nutrition_images/protein_shake.jpg
F113,Lassi Banana,210,8.0,32.0,6.0,2.0,1 glass (300ml),Healthy Drinks,vegetarian,Snacks,energy and probiotic support,nutrition_images/lassi_banana.jpg
F114,Paneer Curry,300,15.0,12.0,22.0,2.0,1 cup (200g),Indian Home Foods,vegetarian,Dinner,protein-rich dinner option,nutrition_images/paneer_curry.jpg
F115,Aloo Gobi,170,4.0,20.0,8.0,5.0,1 cup (180g),Indian Home Foods,vegan,Lunch,fiber and comfort food balance,nutrition_images/aloo_gobi.jpg
F116,Bhindi Masala,160,3.0,14.0,9.0,4.0,1 cup (170g),Indian Home Foods,vegan,Lunch,fiber-rich Indian side,nutrition_images/bhindi_masala.jpg
F117,Palak Paneer,260,14.0,10.0,18.0,3.0,1 cup (180g),Indian Home Foods,vegetarian,Dinner,iron + protein combination,nutrition_images/palak_paneer.jpg
F118,Cabbage Poriyal,110,3.0,12.0,5.0,4.0,1 cup (160g),South Indian Foods,vegan,Lunch,fiber-rich home-style side,nutrition_images/cabbage_poriyal.jpg
F119,Beans Poriyal,120,4.0,12.0,6.0,4.0,1 cup (160g),South Indian Foods,vegan,Lunch,balanced vegetable side,nutrition_images/beans_poriyal.jpg
F120,Carrot Poriyal,115,2.0,14.0,5.0,3.0,1 cup (160g),South Indian Foods,vegan,Lunch,beta-carotene-rich side,nutrition_images/carrot_poriyal.jpg
F121,Lemon Rasam,45,1.5,7.0,1.0,0.8,1 cup (180ml),South Indian Foods,vegan,Dinner,light digestive soup,nutrition_images/lemon_rasam.jpg
F122,Tomato Rasam,50,1.5,8.0,1.2,1.0,1 cup (180ml),South Indian Foods,vegan,Dinner,appetite and digestion support,nutrition_images/tomato_rasam.jpg
F123,Curd Oats,190,8.0,28.0,5.0,4.0,1 bowl (220g),Fitness Meals,vegetarian,Breakfast,gut-friendly sustained energy,nutrition_images/curd_oats.jpg
F124,Oats Upma,210,7.0,32.0,6.0,5.0,1 bowl (220g),Fitness Meals,vegetarian,Breakfast,fiber-rich breakfast option,nutrition_images/oats_upma.jpg
F125,Mixed Veg Curry,150,4.0,18.0,7.0,4.0,1 cup (180g),Indian Home Foods,vegan,Dinner,micronutrient-dense side,nutrition_images/mixed_veg_curry.jpg
F126,Chicken Stir Fry,220,24.0,8.0,10.0,2.0,1 plate (180g),Fitness Meals,non_vegetarian,Dinner,high protein low-carb meal,nutrition_images/chicken_stir_fry.jpg
F127,Paneer Stir Fry,240,16.0,10.0,16.0,3.0,1 plate (180g),Fitness Meals,vegetarian,Dinner,protein-rich low-carb option,nutrition_images/paneer_stir_fry.jpg
F128,Quinoa Veg Bowl,260,9.0,38.0,8.0,6.0,1 bowl (220g),Fitness Meals,vegan,Lunch,balanced modern fitness meal,nutrition_images/quinoa_veg_bowl.jpg
F129,Millet Veg Bowl,250,8.0,40.0,7.0,6.0,1 bowl (220g),Fitness Meals,vegan,Lunch,complex carbs for productivity,nutrition_images/millet_veg_bowl.jpg
F130,Boiled Sweet Corn Salad,140,4.0,24.0,3.0,3.0,1 bowl (170g),Snacks,vegan,Snacks,energy snack with fiber,nutrition_images/boiled_sweet_corn_salad.jpg
F131,Curd Fruit Bowl,180,6.0,28.0,4.0,3.5,1 bowl (200g),Snacks,vegetarian,Snacks,probiotic + fruit synergy,nutrition_images/curd_fruit_bowl.jpg
F132,Peanut Chikki,150,4.5,14.0,9.0,1.0,25g,Healthy snacks,vegetarian,Snacks,compact energy snack,nutrition_images/peanut_chikki.jpg
F133,Til Laddu,130,3.0,10.0,9.0,1.5,1 piece (25g),Healthy snacks,vegetarian,Snacks,calcium and energy support,nutrition_images/til_laddu.jpg
F134,Sattu Drink,120,6.0,18.0,3.0,4.0,1 glass (250ml),Healthy Drinks,vegan,Snacks,hydrating protein drink,nutrition_images/sattu_drink.jpg
F135,Masala Buttermilk,45,2.0,5.0,1.5,0.0,1 glass (240ml),Healthy Drinks,vegetarian,Lunch,digestive hydration support,nutrition_images/masala_buttermilk.jpg
F136,Ragi Malt,190,5.0,34.0,4.0,3.5,1 glass (250ml),Healthy Drinks,vegetarian,Breakfast,calcium and sustained energy,nutrition_images/ragi_malt.jpg
F137,Boiled Chickpeas,164,9.0,27.0,2.6,7.6,100g,Protein Foods,vegan,Snacks,protein and fiber rich,nutrition_images/boiled_chickpeas.jpg
F138,Boiled Green Gram,105,7.0,19.0,0.4,4.0,100g,Protein Foods,vegan,Snacks,light protein snack,nutrition_images/boiled_green_gram.jpg
F139,Tofu Stir Fry,190,14.0,8.0,11.0,3.0,1 plate (180g),Protein Foods,vegan,Dinner,plant protein for recovery,nutrition_images/tofu_stir_fry.jpg
F140,Tofu Salad,170,13.0,7.0,10.0,3.0,1 bowl (170g),Protein Foods,vegan,Lunch,lean vegan protein option,nutrition_images/tofu_salad.jpg
F141,Paneer Cubes,265,18.0,4.0,20.0,0.0,100g,Protein Foods,vegetarian,Snacks,high-protein snack option,nutrition_images/paneer_cubes.jpg
F142,Boiled Potato Chaat,150,3.0,28.0,3.0,3.0,1 cup (150g),Snacks,vegan,Snacks,affordable filling snack,nutrition_images/boiled_potato_chaat.jpg
F143,Vegetable Pulao,280,6.0,45.0,8.0,3.0,1 cup (200g),Indian Home Foods,vegetarian,Lunch,balanced home-style main meal,nutrition_images/vegetable_pulao.jpg
F144,Egg Fried Rice Home Style,320,12.0,45.0,10.0,2.0,1 cup (200g),Indian Home Foods,eggetarian,Lunch,protein-enriched rice meal,nutrition_images/egg_fried_rice_home_style.jpg
F145,Curd Millet Bowl,220,7.0,32.0,6.0,4.0,1 bowl (220g),Fitness Meals,vegetarian,Dinner,gut-friendly balanced dinner,nutrition_images/curd_millet_bowl.jpg
F146,Vegetable Daliya,210,6.0,36.0,5.0,5.0,1 bowl (220g),Indian Home Foods,vegan,Dinner,fiber-rich whole grain meal,nutrition_images/vegetable_daliya.jpg
